id,web_name,first_name,second_name,team_name,position_team,element_type,selected_by_percent,now_cost,form,points_per_game,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value_season,transfers_in,transfers_out,position,price,data_date
1,Fábio Vieira,Fábio,Ferreira Vieira,Arsenal,2,3,0.0,54,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,439,2822,MID,5.4,2025-04-19
2,G.Jesus,Gabriel,Fernando de Jesus,Arsenal,2,4,1.1,65,0.0,2.5,42,600,3,2,2,5,4,0,0,6,152,154.4,119.5,255.0,52.6,6.5,1238021,1408076,FWD,6.5,2025-04-19
3,Gabriel,Gabriel,dos Santos Magalhães,Arsenal,2,2,13.7,62,0.2,4.2,117,2363,3,2,10,22,4,0,0,9,459,584.6,208.8,287.0,108.2,18.9,5092429,5230004,DEF,6.2,2025-04-19
4,Havertz,Kai,Havertz,Arsenal,2,4,5.8,77,0.0,4.6,96,1839,9,3,7,20,4,0,0,14,340,467.2,257.0,701.0,142.6,12.5,2589493,3520699,FWD,7.7,2025-04-19
5,Hein,Karl,Hein,Arsenal,2,1,0.0,40,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,4588,GKP,4.0,2025-04-19
6,J.Timber,Jurriën,Timber,Arsenal,2,2,8.5,57,1.8,3.8,110,2325,1,2,11,19,7,0,0,9,410,368.2,281.7,254.0,90.2,19.3,1922997,1152263,DEF,5.7,2025-04-19
7,Jorginho,Jorge Luiz,Frello Filho,Arsenal,2,3,0.2,46,0.6,1.4,19,700,0,0,2,7,5,0,0,0,109,44.6,88.8,8.0,14.2,4.1,30735,49835,MID,4.6,2025-04-19
8,Kiwior,Jakub,Kiwior,Arsenal,2,2,2.4,48,1.2,1.7,19,577,0,0,1,8,0,0,0,0,72,98.4,45.1,11.0,15.5,4.0,273656,49140,DEF,4.8,2025-04-19
9,Martinelli,Gabriel,Martinelli Silva,Arsenal,2,3,3.0,65,1.6,3.7,101,1787,6,4,8,18,1,0,0,6,325,449.0,480.1,716.0,164.6,15.5,1258743,1297832,MID,6.5,2025-04-19
12,Nwaneri,Ethan,Nwaneri,Arsenal,2,3,2.1,45,2.0,2.5,56,767,3,2,4,3,1,0,0,4,204,240.8,222.3,204.0,66.7,12.4,711403,492158,MID,4.5,2025-04-19
13,Ødegaard,Martin,Ødegaard,Arsenal,2,3,5.6,82,0.6,3.3,79,1861,2,4,9,15,4,0,0,7,375,370.2,754.1,381.0,150.6,9.6,1127062,2152204,MID,8.2,2025-04-19
15,Raya,David,Raya Martin,Arsenal,2,1,34.6,56,1.2,3.8,123,2880,0,0,11,27,2,0,75,9,473,661.0,0.7,0.0,66.2,22.0,3859782,3081925,GKP,5.6,2025-04-19
16,Rice,Declan,Rice,Arsenal,2,3,3.9,62,1.6,3.2,97,2408,2,6,9,25,4,1,0,11,515,578.2,838.7,312.0,172.5,15.6,453809,718429,MID,6.2,2025-04-19
17,Saka,Bukayo,Saka,Arsenal,2,3,29.1,105,2.0,6.2,117,1364,6,11,6,16,3,0,0,18,468,557.6,651.8,670.0,187.9,11.1,7653636,7899565,MID,10.5,2025-04-19
18,Saliba,William,Saliba,Arsenal,2,2,35.5,66,1.2,4.0,120,2634,2,0,11,23,2,1,0,14,507,585.0,137.4,111.0,83.6,18.2,3930516,4418530,DEF,6.6,2025-04-19
20,Thomas,Thomas,Partey,Arsenal,2,3,0.8,49,2.4,3.2,97,2343,4,3,8,23,4,0,0,8,498,545.0,322.6,170.0,104.1,19.8,304106,277370,MID,4.9,2025-04-19
